Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52348961,Scenes of a Graphic Nature,Caroline O'Donoghue,"O'Donoghue, Caroline",,"=""0349009945""","=""9780349009940""",0,3.60,Virago Press,Hardcover,352,2020,2020,,2024/05/27,to-read,to-read (#46),to-read,,,,0,0
36133254,Promising Young Women,Caroline O'Donoghue,"O'Donoghue, Caroline",,"=""0349009902""","=""9780349009902""",0,3.71,Virago Press Ltd,Hardcover,352,2018,2018,,2024/05/27,to-read,to-read (#45),to-read,,,,0,0
53066550,"500 Miles from You (Kirrinfief, #3)",Jenny Colgan,"Colgan, Jenny",,"=""0062911244""","=""9780062911247""",0,3.81,William Morrow Paperbacks,Paperback,432,2020,2020,,2024/05/20,"to-read, otk-on-the-kindle","to-read (#44), otk-on-the-kindle (#31)",to-read,,,,0,0
54870201,Just Last Night,Mhairi McFarlane,"McFarlane, Mhairi",,"=""0063036851""","=""9780063036857""",0,4.00,William Morrow Paperbacks,Paperback,393,2021,2021,,2024/05/20,"to-read, otk-on-the-kindle","to-read (#43), otk-on-the-kindle (#30)",to-read,,,,0,0
25574782,Pretty Girls,Karin Slaughter,"Slaughter, Karin",,"=""0062430874""","=""9780062430878""",0,4.01,William Morrow,Paperback,432,2015,2015,,2024/05/20,"to-read, otk-on-the-kindle","to-read (#42), otk-on-the-kindle (#28)",to-read,,,,0,0
63241104,Tom Lake,Ann Patchett,"Patchett, Ann",,"=""006332752X""","=""9780063327528""",0,3.93,Harper,Hardcover,320,2023,2023,,2024/05/20,"to-read, otk-on-the-kindle","to-read (#41), otk-on-the-kindle (#27)",to-read,,,,0,0
28187230,"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,"Ware, Ruth",,"=""1501132938""","=""9781501132933""",2,3.72,Scout Press,Hardcover,341,2016,2016,2024/05/15,2024/04/19,,,read,Stinker,,,1,0
35900387,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0008172145""","=""9780008172145""",0,4.23,HarperCollins GB,Paperback,390,2018,2017,,2024/05/15,to-read,to-read (#40),to-read,,,,0,0
54072857,In the Quick,Kate Hope Day,"Day, Kate Hope",,"=""0525511253""","=""9780525511250""",0,3.36,Random House,Hardcover,251,2021,2021,,2024/05/15,to-read,to-read (#39),to-read,,,,0,0
6534,"Postmortem (Kay Scarpetta, #1)",Patricia Daniels Cornwell,"Cornwell, Patricia Daniels",Patricia Cornwell,"=""0743477154""","=""9780743477154""",0,4.03,Pocket Books,Mass Market Paperback,342,2003,1990,,2024/05/15,to-read,to-read (#38),to-read,,,,0,0
229846,Granny Was a Buffer Girl,Berlie Doherty,"Doherty, Berlie",,"=""0435123289""","=""9780435123284""",0,3.60,Heinemann,Hardcover,,1988,1986,,2024/05/15,to-read,to-read (#37),to-read,,,,0,0
58673061,NSFW,Isabel Kaplan,"Kaplan, Isabel",,"=""1250822890""","=""9781250822895""",0,3.46,Henry Holt and Co.,Hardcover,272,2022,2022,,2024/05/15,to-read,to-read (#36),to-read,,,,0,0
51854625,The Devil and the Dark Water,Stuart Turton,"Turton, Stuart",,"=""""","=""""",0,3.83,Sourcebooks Landmark,Hardcover,463,2020,2020,,2024/04/18,"to-read, otk-on-the-kindle","to-read (#35), otk-on-the-kindle (#24)",to-read,,,,0,0
52894593,The Lion's Den,Katherine St. John,"John, Katherine St.",,"=""1538733633""","=""9781538733639""",0,3.89,Grand Central Publishing,Hardcover,368,2020,2020,,2024/04/18,"to-read, otk-on-the-kindle","to-read (#34), otk-on-the-kindle (#23)",to-read,,,,0,0
60784373,What Lies in the Woods,Kate Alice Marshall,"Marshall, Kate Alice",,"=""1250859883""","=""9781250859884""",0,3.94,Flatiron Books,Hardcover,336,2023,2023,,2024/04/18,to-read,to-read (#33),to-read,,,,0,0
164444179,First Lie Wins,Ashley Elston,"Elston, Ashley",,"=""""","=""""",5,4.00,Pamela Dorman Books,Hardcover,340,2024,2024,2024/04/18,2024/04/16,"otk-on-the-kindle, loved","otk-on-the-kindle (#19), loved (#10)",read,Hit for me in many different ways. Loved,,,1,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",0,3.80,Vintage Contemporaries,Paperback,399,1991,1991,,2024/01/17,"to-read, otk-on-the-kindle","to-read (#10), otk-on-the-kindle (#22)",to-read,,,,0,0
141565,This Is Your Brain on Music,Daniel J. Levitin,"Levitin, Daniel J.",,"=""0525949690""","=""9780525949695""",0,3.89,Dutton Adult,Hardcover,314,2006,2006,,2024/02/03,"to-read, otk-on-the-kindle","to-read (#23), otk-on-the-kindle (#20)",to-read,,,,0,0
